transaction_count,account_balance,transaction_frequency_sent,transaction_frequency_received,unique_contacts_sent,unique_contacts_received,avg_value_sent,avg_value_received,total_ether_sent,total_ether_received,contract_creation,fraud_label
3,0.018003663,0.0,781.62,1,2,0.0,0.009002,0.0,0.018003663,0,0
2,0.000504,0.0,0.0,1,1,1.092856,1.09336,1.09285551,1.09335951,0,0
9,0.001764,3037.03,12801.65,4,3,1.405809,1.125,5.623236,5.625,0,0
2,0.000471636,0.0,0.0,1,1,0.269404,0.269876,0.269403924,0.26987556,0,0
2,0.00062,0.0,0.0,1,1,0.99938,1.0,0.99938,1.0,0,0
2,0.00062,0.0,0.0,1,1,0.1793799999999999,0.18,0.1793799999999999,0.18,0,0
5,0.001925554,2104.21,5422.52,3,2,0.065425,0.0991,0.196273576,0.19819913,0,0
2,0.001046957,0.0,0.0,1,1,0.294453,0.2955,0.294453043,0.2955,0,0
2,0.000544754,0.0,0.0,1,1,0.32886,0.329405,0.328860356,0.32940511,0,0
48,0.001323,4222.44,1244.43,1,5,2.0057720000000003,0.133748,6.017316658,6.018639658,0,0
2,0.00062,0.0,0.0,1,1,0.04938,0.05,0.04938,0.05,0,0
2,0.00062,0.0,0.0,1,1,0.141929,0.142549,0.14192875,0.14254875,0,0
2,0.00062,0.0,0.0,1,1,0.061521,0.062141,0.061521135,0.062141135,0,0
2,0.00078606,0.0,0.0,1,1,0.108614,0.1094,0.10861394,0.1094,0,0
7,0.000691,39172.64,52599.21,2,4,0.298903,0.119699,0.59780523,0.59849623,0,0
4,0.001689062,4.14,8490.96,2,2,0.432594,0.433439,0.865188098,0.86687716,0,0
111,0.005738902,14354.08,2854.57,8,3,0.452565,0.04984,4.978214262,4.983953164,0,0
3,0.0007140339999999,0.0,155.33,1,1,2.593891,1.297302,2.593890756,2.59460479,0,0
2,0.00062,0.0,0.0,1,1,2.079566,2.080186,2.0795659,2.0801859,0,0
23,-0.044989188,7615.41,22252.64,8,2,0.06692,0.082497,0.869956748,0.82496756,0,0
2,0.00062,0.0,0.0,1,1,1.99938,2.0,1.99938,2.0,0,0
2,0.00062,0.0,0.0,1,1,0.99938,1.0,0.99938,1.0,0,0
2,0.0022,0.0,0.0,1,1,0.110062,0.112262,0.11006227,0.11226227,0,0
2,0.00062,0.0,0.0,1,1,0.259546,0.260166,0.259545986,0.260165986,0,0
2,0.000441,0.0,0.0,1,1,0.299559,0.3,0.299559,0.3,0,0
2,0.00062,0.0,0.0,1,1,2.99938,3.0,2.99938,3.0,0,0
2,0.000504,0.0,0.0,1,1,0.097055,0.097559,0.097055,0.097559,0,0
9,0.004293807,2796.41,37937.2,4,2,0.020195,0.041821,0.121170143,0.12546395,0,0
3,0.0066,0.0,663.87,1,2,2.059331,1.032966,2.0593311,2.0659311,0,0
8,0.001932804,2.22,2496.45,1,4,1.249517,1.25,4.998067196,5.0,0,0
11,0.004211617,9.83,31900.45,1,6,1.200484,1.001105,6.00241899,6.006630607000001,0,0
7,0.00075602,612.46,1358.31,1,1,1.559748,1.17,4.67924398,4.68,0,0
2,0.00143523,0.0,0.0,1,1,1.098565,1.1,1.09856477,1.1,0,0
60,0.0249076,6.92,6741.16,2,1,0.002308,0.002962,0.0669285,0.0918361,0,0
2,0.000449141,0.0,0.0,1,1,1.548403,1.548853,1.548403419,1.54885256,0,0
172,0.035721,156.16,2925.08,3,2,0.060976,0.059985,5.183001494,5.218722494,0,0
4,0.00089692,69.63,108.81,1,2,0.498008,0.4984560000000001,0.99601548,0.9969124,0,0
5,0.001030219,3.02,5711.32,1,3,0.488273,0.325859,0.976546691,0.97757691,0,0
2,0.095,0.0,0.0,1,1,0.9,0.995,0.9,0.995,0,0
2,0.000471636,0.0,0.0,1,1,1.999093,1.999564,1.999092664,1.9995643,0,0
17,0.0061270519999999,247.72,31648.25,1,9,0.093855,0.084107,0.750839788,0.75696684,0,0
2,0.0022,0.0,0.0,1,1,0.309735,0.311935,0.3097353,0.3119353,0,0
8,0.001246032,87627.86,13990.94,1,1,1.729805,1.038132,5.189415508,5.19066154,0,0
2,0.00025202,0.0,0.0,1,1,1.799748,1.8,1.79974798,1.8,0,0
3,0.00162434,29260.33,0.0,2,1,0.299188,0.6,0.59837566,0.6,0,0
2,0.00042,0.0,0.0,1,1,0.09958,0.1,0.09958,0.1,0,0
2,9.67e-05,0.0,0.0,1,1,1.792688,1.792785,1.792688108,1.79278478,0,0
41,0.045,5716.41,1668.58,4,2,0.050486,0.302,1.767,1.812,0,0
2,0.000471636,0.0,0.0,1,1,0.113516,0.113988,0.113516364,0.113988,0,0
2,0.000504,0.0,0.0,1,1,1.408948,1.409452,1.40894829,1.40945229,0,0
4,0.000984218,162.28,28.22,2,1,2.208526,2.209018,4.417051052,4.41803527,0,0
1,0.00204917,0.0,0.0,0,1,0.0,0.002049,0.0,0.00204917,0,0
8,0.001323,1910.63,12332.55,2,1,0.36137,0.217087,1.08411085,1.08543385,0,0
4,0.00362337,47.16,284.6,1,2,1.248188,1.25,2.49637663,2.5,0,0
4,0.00050001,0.0,3996.16,1,1,0.019836,0.006779,0.01983642,0.02033643,0,0
2,7.04e-05,0.0,0.0,1,1,0.145797,0.145868,0.14579748,0.14586788,0,0
4,0.00168,0.86,30007.36,2,2,1.877898,1.878738,3.755796793,3.757476793,0,0
2,0.001122944,0.0,0.0,1,1,2.998877,3.0,2.9988770560000004,3.0,0,0
43,0.019337423,7.97,7868.86,1,1,0.139693,0.092081,2.37477691,2.394114333,0,0
5,0.000940819,1559.01,53123.24,1,3,0.101546,0.068011,0.203092193,0.204033012,0,0
2,0.00042,0.0,0.0,1,1,0.032902,0.033322,0.0329017,0.0333217,0,0
11,0.00386,206.28,871.37,7,3,0.007065,0.020128,0.05652348,0.06038348,0,0
2,0.0,0.0,1580.72,0,1,0.0,0.0,0.0,0.0,0,0
3,0.042,0.0,2796.19,1,1,4.048,2.045,4.048,4.09,0,0
2,0.000803431,0.0,0.0,1,1,0.861351,0.8621549999999999,0.8613514090000001,0.86215484,0,0
4,0.000882,19899.33,0.97,1,2,1.334771,1.335212,2.669542,2.670424,0,0
6,0.001323,6.44,3266.12,3,3,1.996058,1.996499,5.9881730000000015,5.989496,0,0
2,0.000504,0.0,0.0,1,1,0.8635959999999999,0.8641,0.8635959999999999,0.8641,0,0
8,0.001613102,25626.59,150.32,2,3,1.680222,1.008456,5.04066541,5.042278511,0,0
2,0.000546,0.0,0.0,1,1,0.012324,0.01287,0.012323985,0.012869985,0,0
2,0.00062,0.0,0.0,1,1,0.29938,0.3,0.29938,0.3,0,0
4,0.00168,1.38,183.45,1,2,1.659286,1.6601259999999998,3.31857246,3.32025246,0,0
10,0.0022251,306.54,165163.36,4,4,0.108729,0.16365,0.65237364,0.65459874,0,0
45,0.075,5.48,13900.63,1,2,0.0,0.003261,0.0,0.075,0,0
10,0.01816782,17339.13,44006.28,7,2,0.031066,0.078543,0.2174626,0.23563042,0,0
5,0.00084002,1876.99,690.72,1,2,0.131553,0.087982,0.263105795,0.263945815,0,0
2,0.000441,0.0,0.0,1,1,0.417826,0.418267,0.4178263,0.4182673,0,0
19,0.00190419,56099.5,22861.18,2,5,0.7234729999999999,0.422185,5.064310041000001,5.066214231,0,0
10,0.010467366,28669.34,6634.31,4,1,0.131917,0.532903,1.055337634,1.065805,0,0
4,0.000882,58250.62,49049.09,2,2,0.57516,0.575601,1.15031921,1.15120121,0,0
2,0.000471636,0.0,0.0,1,1,0.216225,0.216697,0.216225364,0.216697,0,0
16,0.00336,2.66,9663.03,1,1,0.098967,0.099387,0.79173572,0.79509572,0,0
4,0.01864421,0.0,12252.86,1,3,0.19979,0.072811,0.19979,0.21843421,0,0
10,0.006770221,631.96,3761.0,1,2,0.099147,0.100501,0.4957327,0.502502921,0,0
21,0.0059399219999999,8088.17,12594.02,3,10,0.387867,0.427247,4.266531978,4.2724719,0,0
3,0.000882,11111.27,0.0,2,1,0.131383,0.263649,0.26276661,0.26364861,0,0
2,0.00062,0.0,0.0,1,1,0.217573,0.218193,0.21757328,0.21819328,0,0
4,0.000594905,1.48,121637.04,1,1,1.543703,1.544,3.087405095,3.088,0,0
2,0.000581532,0.0,0.0,1,1,0.118138,0.118719,0.118137668,0.1187192,0,0
2,0.0022,0.0,0.0,1,1,0.0778,0.08,0.0778,0.08,0,0
4,0.001147999,3.04,2742.0,1,2,0.350094,0.350668,0.7001880909999999,0.70133609,0,0
2,0.001046957,0.0,0.0,1,1,0.998481,0.999528,0.998481413,0.99952837,0,0
2,0.00062,0.0,0.0,1,1,0.056687,0.057307,0.05668681,0.05730681,0,0
2,0.00062,0.0,0.0,1,1,2.287743,2.288363,2.28774274,2.28836274,0,0
4,0.000954636,80.49,8453.46,2,2,2.415452,2.41593,4.830904524,4.83185916,0,0
54,0.012805943,16.56,8212.09,27,3,0.213549,0.214023,5.765812296,5.778618239,0,0
1,0.03308699,0.0,0.0,0,1,0.0,0.033087,0.0,0.03308699,0,0
2,0.000471636,0.0,0.0,1,1,3.059335,3.059807,3.059335204,3.05980684,0,0
6,0.001365,16.83,8716.59,3,1,0.727302,0.727757,2.18190669,2.18327169,0,0
6,0.001483117,15.7,170.05,3,1,0.346707,0.347202,1.040121563,1.04160468,0,0
4,0.001058104,2.91,161.76,1,2,2.733345,2.733875,5.466690926,5.46774903,0,0
10,0.002247,5.66,54431.37,5,1,0.008098,0.008548,0.04049074,0.04273774,0,0
8,0.001971948,3.99,3250.28,1,4,0.599507,0.6,2.398028052,2.4,0,0
3,0.00112995,45862.76,0.0,2,1,0.011935,0.025,0.02387005,0.025,0,0
2,0.000471636,0.0,0.0,1,1,0.5486880000000001,0.54916,0.548688364,0.54916,0,0
2,0.00021,0.0,0.0,1,1,0.00079,0.001,0.00079,0.001,0,0
35,0.006825,380.96,27692.65,8,2,0.182613,0.350577,4.200103258,4.2069282580000005,0,0
2,0.000504,0.0,0.0,1,1,0.868196,0.8687,0.868196,0.8687,0,0
2,0.00062,0.0,0.0,1,1,1.09938,1.1,1.09938,1.1,0,0
2,0.000504,0.0,0.0,1,1,0.989496,0.99,0.989496,0.99,0,0
4,0.000984218,143.12,42.4,2,1,1.978825,1.979317,3.957650149,3.958634367,0,0
7,-0.006412764,25903.18,0.0,4,0,0.000916,0.0,0.006412764,0.0,0,0
2,0.000504,0.0,0.0,1,1,0.435484,0.435988,0.43548381,0.43598781,0,0
20,0.020749675,14.63,48330.12,1,9,0.474479,0.476554,4.744793700000002,4.765543375,0,0
2,0.00062,0.0,0.0,1,1,0.09938,0.1,0.09938,0.1,0,0
6,0.0042276,3.34,78162.61,1,2,0.653374,0.654783,1.96012176,1.96434936,0,0
2,0.00062,0.0,0.0,1,1,2.232266,2.232886,2.2322663,2.2328863,0,0
2,0.00042,0.0,0.0,1,1,0.137759,0.138179,0.13775932,0.13817932,0,0
2,0.001602564,0.0,0.0,1,1,0.047101,0.048703,0.047100846,0.04870341,0,0
3,-0.005,2306.44,0.0,1,1,1.0,1.995,2.0,1.995,0,0
2,0.00062,0.0,0.0,1,1,0.521255,0.521875,0.521255,0.521875,0,0
2,0.000471636,0.0,0.0,1,1,1.169622,1.170093,1.169621554,1.17009319,0,0
52,0.011829707,11.46,1305.04,26,3,0.061846,0.062301,1.607992902,1.619822609,0,0
23,0.01615856,11.24,8137.89,1,3,0.414376,0.319994,4.14376132,4.15991988,0,0
2,0.000559397,0.0,0.0,1,1,0.319441,0.32,0.319440603,0.32,0,0
4,0.001132258,1.54,55.28,1,2,1.449434,1.45,2.898867742,2.9,0,0
3,0.000818377,274972.69,0.0,2,1,1.499091,2.999,2.998181623,2.999,0,0
2,0.00062,0.0,0.0,1,1,0.70243,0.70305,0.7024301740000001,0.703050174,0,0
2,0.0022,0.0,0.0,1,1,1.0348,1.037,1.0348,1.037,0,0
2,0.0008857,0.0,0.0,1,1,2.999114,3.0,2.9991143,3.0,0,0
9,0.007225,400.18,74002.41,5,3,0.332397,0.6672020000000001,1.99438218,2.00160718,0,0
8,0.00558145,17.9,51.84,1,1,0.331395,0.332791,1.32558105,1.3311625,0,0
15,0.005125177,541.67,350.13,8,5,0.443097,0.6655,3.98787622,3.993001398,0,0
2,0.000471659,0.0,0.0,1,1,0.015528,0.016,0.015528341,0.016,0,0
2,0.000471636,0.0,0.0,1,1,0.499528,0.5,0.499528364,0.5,0,0
20,0.009748119,1221.32,34190.91,10,4,0.016978,0.026686,0.203740991,0.21348911,0,0
4,0.000952024,3.5,177.42,2,1,1.768498,1.7689740000000005,3.536995011,3.537947035,0,0
2,0.0022,0.0,0.0,1,1,0.338695,0.340895,0.33869467,0.34089467,0,0
2,0.00062,0.0,0.0,1,1,0.067548,0.0681679999999999,0.067548058,0.068168058,0,0
3,0.0016090999999999,29241.42,0.0,2,1,0.0152139999999999,0.032037,0.0304279,0.032037,0,0
4,0.0021,1.27,27.71,1,1,1.29895,1.3,2.5979,2.6,0,0
8,0.00210002,24.93,1930.23,5,2,0.189963,0.317304,0.94981273,0.95191275,0,0
67,0.003181122,20236.24,14490.48,2,8,0.7049489999999999,0.082297,4.93464475,4.937825872,0,0
2,0.00062,0.0,0.0,1,1,0.19938,0.2,0.19938,0.2,0,0
10,0.0042,0.88,3029.31,2,2,0.400747,0.401587,2.00373271,2.00793271,0,0
2,0.000504,0.0,0.0,1,1,0.299196,0.2997,0.299196,0.2997,0,0
4,0.000912636,2.86,1373.88,2,1,0.048402,0.048859,0.096804519,0.097717155,0,0
11,0.005412564,36532.41,5620.65,6,1,0.001621,0.01,0.014587436,0.02,0,0
5,0.00088271,4275.36,10813.3,2,2,0.48754,0.325321,0.975081,0.97596371,0,0
4,0.00281242,687.23,133234.16,1,2,1.241094,1.2425,2.48218758,2.485,0,0
11,0.004436821,27285.64,2620.22,4,4,0.15629,0.274617,1.094030959,1.09846778,0,0
2,0.000294014,0.0,0.0,1,1,0.145574,0.145868,0.145574456,0.14586847,0,0
11,0.005904244,20.13,28987.35,1,1,1.024606,0.854822,5.12303042,5.128934664,0,0
8,-0.00806646,34793.92,0.0,4,0,0.001008,0.0,0.00806646,0.0,0,0
4,-0.00712304,40824.57,0.0,3,0,0.0017809999999999,0.0,0.00712304,0.0,0,0
44,0.00861101,2229.96,13369.46,2,1,0.160069,0.101103,2.72117124,2.72978225,0,0
5,0.001503799,63087.18,287.58,1,1,0.096165,0.145,0.288496201,0.29,0,0
3,0.001544465,51613.33,0.0,2,1,0.125268,0.25208,0.250535195,0.25207966,0,0
9,0.015,3.88,24508.0,1,1,0.0,0.003,0.0,0.015,0,0
9,0.02003184,25582.21,6876.05,3,6,0.180333,0.093505,0.541,0.56103184,0,0
2,0.000504,0.0,0.0,1,1,0.432415,0.432919,0.43241517,0.43291917,0,0
4,0.001591457,28.84,128280.54,1,2,0.158963,0.1597579999999999,0.317925443,0.3195169,0,0
15,0.039163,266.53,132608.01,10,3,0.11878,0.488176,1.42536537,1.46452837,0,0
12,0.003757992,5927.95,54445.39,7,3,0.0677059999999999,0.095539,0.473939248,0.47769724,0,0
2,0.0022,0.0,0.0,1,1,0.0428,0.045,0.0428,0.045,0,0
76,0.015981003,483.85,2500.12,3,1,0.1496819999999999,0.150103,5.687927823,5.703908826,0,0
2,0.00062,0.0,0.0,1,1,1.6253799999999998,1.626,1.6253799999999998,1.626,0,0
10,0.0042,0.79,5058.21,2,2,0.331638,0.332478,1.658188208,1.662388208,0,0
5,0.001490808,3193.16,801.17,2,1,0.029455,0.044927,0.0883638019999999,0.08985461,0,0
4,0.001968789,3.74,2245.4,1,1,0.312983,0.313968,0.625966964,0.6279357529999999,0,0
2,0.000578246,0.0,0.0,1,1,1.7640490000000002,1.764627,1.764048688,1.7646269330000002,0,0
8,0.012,4.69,2151.53,1,1,0.0,0.003,0.0,0.012,0,0
2,0.04589263,0.0,825.9,0,2,0.0,0.022946,0.0,0.04589263,0,0
29,0.005323106,195.32,14896.46,1,3,1.072915,0.223746,5.3645739,5.369897006,0,0
2,0.00084,0.0,0.0,1,1,0.59916,0.6,0.59916,0.6,0,0
2,0.000471636,0.0,0.0,1,1,0.5009779999999999,0.50145,0.500978364,0.50145,0,0
2,0.0006846,0.0,0.0,1,1,0.007797,0.008481,0.0077966,0.0084812,0,0
2,0.000471636,0.0,0.0,1,1,1.078139,1.07861,1.078138684,1.07861032,0,0
4,0.001523857,2.48,3957.68,1,2,0.89469,0.895452,1.7893793930000002,1.79090325,0,0
2,0.000504,0.0,0.0,1,1,0.756127,0.756631,0.75612671,0.75663071,0,0
15,0.008197642,2132.92,1930.1,7,2,0.139252,0.384993,1.531775418,1.53997306,0,0
2,0.000471636,0.0,0.0,1,1,0.719057,0.719528,0.719056734,0.71952837,0,0
3,0.000882,20740.81,0.0,2,1,0.175524,0.351929,0.35104706,0.35192906,0,0
15,0.019958048,12949.43,5335.48,7,1,0.000837,0.01,0.010041952,0.03,0,0
3,0.00085022,94379.42,0.0,2,1,0.136461,0.273771,0.27292118,0.2737714,0,0
9,0.024698885,86411.4,135707.2,7,2,0.021898,0.088994,0.153289345,0.17798823,0,0
4,0.00168,0.71,29707.33,2,2,1.470874,1.471714,2.941748,2.943428,0,0
2,0.000441,0.0,0.0,1,1,0.059601,0.060042,0.059601322,0.060042322,0,0
2,0.000504,0.0,0.0,1,1,0.43476,0.435264,0.43476028,0.43526428,0,0
2,0.000471636,0.0,0.0,1,1,0.009528,0.01,0.009528364,0.01,0,0
2,0.00078606,0.0,0.0,1,1,0.099214,0.1,0.09921394,0.1,0,0
30,0.023952946,9811.44,21470.73,9,5,0.144222,0.218329,2.595998267,2.619951213,0,0
3,0.00017618,0.0,0.0,1,1,0.1157,0.057938,0.1157,0.11587618,0,0
2,0.000441,0.0,0.0,1,1,2.193833,2.194274,2.19383323,2.19427423,0,0
3,0.0008609999999999,0.0,1230.33,1,1,0.062495,0.031678,0.062495073,0.063356073,0,0
2,0.000441,0.0,0.0,1,1,0.503304,0.503745,0.5033035,0.5037444999999999,0,0
4,0.000953638,26.12,1989.33,2,2,1.409723,1.4102,2.819446362,2.8204,0,0
2,0.001,0.0,0.0,1,1,0.998,0.999,0.998,0.999,0,0
4,0.00197708,60637.93,0.0,1,1,0.099341,0.3,0.29802292,0.3,0,0
1,0.00953081,0.0,0.0,0,1,0.0,0.009531,0.0,0.00953081,0,0
4,0.001932,91023.62,0.0,3,1,0.083366,0.252029,0.25009683,0.25202883,0,0
18,0.004075603,25568.82,24517.38,9,7,0.587011,0.587464,5.283096647,5.28717225,0,0
4,0.000920472,12.98,235.23,1,1,1.03504,1.0355,2.070079528,2.071,0,0
6,0.001895,35520.03,8656.19,2,3,1.888167,1.888798,5.6645,5.666395,0,0
4,0.002443805,34403.49,0.0,3,1,0.083678,0.253479,0.251035195,0.253479,0,0
2,0.0008609999999999,0.0,0.0,1,1,0.000139,0.001,0.000139,0.001,0,0
2,0.000441,0.0,0.0,1,1,0.059559,0.06,0.059559,0.06,0,0
2,0.00084,0.0,0.0,1,1,2.99916,3.0,2.99916,3.0,0,0
15,0.00692896,1225.24,43947.8,8,5,0.131436,0.151202,1.051487936,1.058416896,0,0
2,0.00062,0.0,0.0,1,1,0.24938,0.25,0.24938,0.25,0,0
2,0.00042,0.0,0.0,1,1,0.000684,0.001104,0.000684143,0.001104143,0,0
2,0.00062,0.0,0.0,1,1,0.152372,0.152992,0.15237209,0.15299209,0,0
2,0.001,0.0,0.0,1,1,0.429,0.43,0.429,0.43,0,0
6,0.0032,17684.35,6.75,2,1,0.004533,0.0056,0.0136,0.0168,0,0
2,0.000504,0.0,0.0,1,1,1.243123,1.243627,1.24312289,1.24362689,0,0
9,0.00189311,1.95,12308.33,1,5,1.446152,1.1573,5.78460689,5.7865,0,0
2,0.00062,0.0,0.0,1,1,2.302169,2.302789,2.30216894,2.30278894,0,0
10,0.001533949,265.5,94079.21,2,5,0.028719,0.029026,0.143595181,0.14512913,0,0
4,0.001142618,1.41,106.83,1,2,0.499429,0.5,0.998857382,1.0,0,0
2,0.0022,0.0,0.0,1,1,0.171973,0.174173,0.17197315,0.17417315,0,0
19,0.025432642,2738.04,28438.68,9,10,0.372318,0.337629,3.3508583780000003,3.37629102,0,0
28,0.00588002,161.2,1504.96,14,11,0.334859,0.335279,4.68802607,4.69390609,0,0
2,0.00062,0.0,0.0,1,1,0.011774,0.012394,0.01177443,0.01239443,0,0
2,0.0022,0.0,0.0,1,1,0.257412,0.259612,0.25741214,0.25961214,0,0
20,0.00689244,3894.6,123418.52,9,7,0.351658,0.6540630000000001,4.57155037,4.57844281,0,0
2,0.0022,0.0,0.0,1,1,1.9978,2.0,1.9978,2.0,0,0
2,0.00084,0.0,0.0,1,1,0.056886,0.057726,0.05688647,0.05772647,0,0
4,0.000917507,3.33,1948.83,2,2,0.429924,0.430383,0.859848403,0.86076591,0,0
4,0.001789548,12.29,631.46,1,2,0.602892,0.603787,1.205783752,1.2075733,0,0
20,0.002673327,20659.78,31583.9,2,3,0.9087,0.389634,5.452197632000001,5.454870959,0,0
2,0.000441,0.0,0.0,1,1,0.301749,0.30219,0.30174886,0.30218986,0,0
5,0.001401495,27641.15,17666.58,2,2,0.343032,0.5152479999999999,1.029094785,1.03049628,0,0
2,0.0022,0.0,0.0,1,1,0.312537,0.314737,0.31253681,0.31473681,0,0
2,0.000504,0.0,0.0,1,1,0.999496,1.0,0.999496,1.0,0,0
13,0.007377195,102.22,29737.4,2,7,0.78837,0.6768,4.730220791,4.737597985,0,0
33,0.009133191,8608.93,39682.31,2,2,0.254061,0.187684,3.55686085,3.565994042,0,0
2,0.00042,0.0,0.0,1,1,0.995245,0.995665,0.9952452,0.9956652,0,0
11,0.003955566,145.22,8133.65,5,2,0.051,0.043159,0.255,0.258955566,0,0
29,0.00156,5418.91,39416.94,2,4,0.58405,0.09351,2.336201936,2.337761936,0,0
2,0.00084,0.0,0.0,1,1,1.99916,2.0,1.99916,2.0,0,0
6,0.003006805,10.59,26832.43,1,3,0.8269700000000001,0.827973,2.480910755,2.48391756,0,0
6,0.00304728,88560.74,18593.82,3,2,2.9e-05,0.001044,8.55e-05,0.0031328,0,0
2,0.000504,0.0,0.0,1,1,0.199496,0.2,0.199496,0.2,0,0
2,0.00951045,0.0,0.0,1,1,1.49,1.49951,1.49,1.49951045,0,0
2,0.000471636,0.0,0.0,1,1,0.537212,0.537683,0.537211794,0.53768343,0,0
6,0.00072001,0.0,177064.48,1,2,4.2843,0.8570040000000001,4.28429999,4.285019999999999,0,0
1,0.092880895,0.0,0.0,0,1,0.0,0.092881,0.0,0.092880895,0,0
2,0.000441,0.0,0.0,1,1,0.999559,1.0,0.999559,1.0,0,0
2,0.0,35043.33,0.0,2,0,0.0,0.0,0.0,0.0,0,0
2,0.000504,0.0,0.0,1,1,2.999496,3.0,2.999496,3.0,0,0
4,0.0063393619999999,102624.42,0.0,1,1,0.1892,0.57394,0.567601108,0.57394047,0,0
2,0.001145916,0.0,0.0,1,1,0.778582,0.7797270000000001,0.778581504,0.77972742,0,0
2,0.000471636,0.0,0.0,1,1,1.045563,1.046035,1.045563194,1.04603483,0,0
2,0.0,0.0,30.85,0,1,0.0,0.0,0.0,0.0,0,0
2,0.00042,0.0,0.0,1,1,1.99958,2.0,1.99958,2.0,0,0
2,0.000504,0.0,0.0,1,1,0.106873,0.107377,0.10687253,0.10737653,0,0
16,0.003465,10.23,3985.82,8,8,0.679377,0.67981,5.43501682,5.43848182,0,0
2,0.000471636,0.0,0.0,1,1,0.021588,0.02206,0.021588284,0.02205992,0,0
8,0.036025612,127607.87,10039.27,5,2,0.5239739999999999,0.885299,2.619872148,2.65589776,0,0
2,0.000504,0.0,0.0,1,1,0.905049,0.905553,0.90504858,0.90555258,0,0
4,0.000940373,6.19,1764.58,2,1,1.494836,1.495306,2.989671527,2.9906119,0,0
7,0.00300862,2922.05,224097.92,4,3,0.292898,0.391533,1.17159138,1.1746,0,0
2,0.000564546,0.0,0.0,1,1,0.499435,0.5,0.499435454,0.5,0,0
